383;450;376;687;17,614;0,45529;0,03567;0,60433;17,308;0,48321;0,037096;0,62931;20,841;0,54446;0,033536;0,5824;14,566;0,73758;0,010903;0,47502;954;161,14;-158,97;20,843;105,72;1
367;438;337;847;25,083;0,89386;0,033066;0,64896;18,347;0,92685;0,050441;0,70044;28,492;0,9121;0,032657;0,63802;72,562;0,8814;0,011312;0,49022;1011,6;314,1;-186,55;23,216;108,12;1
373;434;343;804;25,926;0,6003;0,025733;0,53781;26,138;0,60876;0,026791;0,56678;28,847;0,63919;0,025015;0,54091;14,812;0,69987;0,015026;0,52176;990,45;276,49;-181,16;2,249;108,16;1
369;435;329;777;47,273;0,91032;0,017758;0,54718;40,351;0,93743;0,020055;0,57276;55,351;0,92844;0,018279;0,54546;10,052;0,82135;0,011731;0,4918;966,51;259,82;-186,95;21,686;105,8;1
372;427;348;779;71,736;0,91298;0,01763;0,51819;57,149;0,94727;0,025997;0,55995;63,347;0,92876;0,042287;0,58547;12,944;0,8036;0,014574;0,50308;975,19;257,2;-172,73;22,098;109;1
364;432;342;766;12,331;0,81536;0,011492;0,45924;14,519;0,82903;0,010245;0,44965;11,781;0,81617;0,017818;0,4821;21,076;0,45352;0,013541;0,44599;964,39;249,21;-172,67;21,726;107,26;1
406;479;411;725;23,975;0,40567;0,02662;0,55775;24,238;0,42076;0,028046;0,58446;28,079;0,48911;0,028302;0,54828;16,709;0,66712;0,012277;0,48191;1017,4;163,41;-159,9;22,275;107,01;1
367;437;343;747;11,298;0,65119;0,041852;0,61993;11,37;0,72592;0,044737;0,65763;11,876;0,71528;0,040289;0,61942;10,411;0,75991;0,018271;0,53613;957,7;230,61;-173,81;21,372;106,04;1
362;431;306;802;53,182;0,88857;0,017912;0,5336;42,562;0,92208;0,019509;0,55868;60,351;0,91571;0,017844;0,53131;11,223;0,79519;0,011688;0,48012;963,48;291,37;-200,05;21,726;104,88;1
378;472;400;707;23,572;0,42527;0,025664;0,5579;23,612;0,44005;0,026672;0,57941;27,378;0,51485;0,02464;0,54117;15,477;0,67921;0,014062;0,50148;988,35;163,44;-147,07;21,706;105,93;1
358;425;327;766;11,95;0,8122;0,012021;0,48074;11,393;0,82032;0,011184;0,48164;99,091;0,8399;0,016068;0,50596;13,816;0,77183;0,012047;0,46333;950,47;258,44;-177,65;21,431;106,61;1
382;437;353;721;74,091;0,89963;0,013805;0,50991;66,653;0,92668;0,016964;0,54637;72,459;0,91256;0,020909;0,54913;88,636;0,8328;0,012209;0,49506;953,45;201,4;-173,66;21,059;106,3;1
364;426;325;748;98,926;0,83935;0,012593;0,49768;95,702;0,87047;0,01343;0,51918;97,727;0,85916;0,014386;0,50469;14,847;0,69612;0,012824;0,48089;941,61;242,13;-181,62;21,039;105,67;1
372;461;380;778;92,789;0,87939;0,015991;0,50043;10,248;0,89785;0,020618;0,51932;81,591;0,88941;0,037907;0,55736;19,329;0,69483;0,011517;0,45793;1009,8;233,87;-160,15;22,706;107,79;1
376;452;344;738;18,196;0,60961;0,03246;0,56725;17,853;0,64358;0,038582;0,61269;19,975;0,67028;0,039333;0,58709;11,901;0,72321;0,01909;0,54333;963,73;214,77;-182,55;21,216;103,55;1
367;432;326;759;47,727;0,74962;0,058304;0,69548;45,186;0,78131;0,056349;0,71305;57,149;0,83266;0,038624;0,64827;54,029;0,88497;0,014838;0,52596;952,44;247,74;-185,5;21,275;105,31;1
372;437;347;743;89,401;0,66244;0,038027;0,63633;82,831;0,71986;0,047708;0,67761;10,564;0,73188;0,034125;0,62733;7,062;0,81756;0,017306;0,55772;959,31;224,48;-173,66;21,372;106,36;1
356;415;301;813;11,612;0,81307;0,010979;0,47664;13,236;0,82314;0,010083;0,46168;10,967;0,82056;0,014121;0,48929;20,434;0,61823;0,010749;0,43514;956,82;309,57;-195,88;21,843;106,64;1
